ZIP Code,	Latitude,	Longitude
01903,	42.46489769999999,	-70.9461145
01907,	42.4724446,	-70.9011786
01910,	42.4546013,	-70.9746801
01913,	42.8525821,	-70.94279139999999
01915,	42.5720581,	-70.8476708
01917,	51.2841235,	14.1133767
01920,	51.2406659,	14.0328294
01921,	42.6763235,	-71.014118
01922,	42.7543139,	-70.91901320000001
01923,	42.569557,	-70.94279139999999
01929,	42.6352771,	-70.7763169
01930,	42.6186994,	-70.6811613
01931,	42.61404479999999,	-70.66307549999999
01936,	42.6219896,	-70.8542725
01937,	42.5867857,	-70.972043
01938,	42.673911,	-70.83577919999999
01940,	42.5348403,	-71.0438339
01944,	42.5785949,	-70.7763169
01945,	42.4963567,	-70.8476708
01949,	42.6007246,	-71.014118
01952,	42.8402704,	-70.8714528
01965,	42.5591076,	-70.8262101
01982,	42.6287628,	-70.8476708
01987,	51.4808978,	13.858585
01993,	51.5168382,	13.8977333
01994,	51.5611052,	13.8965781
01998,	51.5410754,	13.8921507
02000,	50.4501,	30.5234
02005,	39.067615,	-1.8025852
02006,	39.0336871,	-1.9685826
02007,	39.0977825,	-1.8708613
02009,	-23.5149628,	-46.645191
02010,	19.4860437,	-99.18505979999999
02012,	42.6116801,	13.2894368
02016,	-23.5023676,	-46.6276997
02017,	-23.5017688,	-46.639762
02018,	42.2426338,	-70.8892183
02019,	42.0874065,	-71.46555649999999
02020,	42.0912361,	-70.64670629999999
02021,	42.1841964,	-71.13296849999999
02025,	42.2454632,	-70.8238874
02026,	42.2494514,	-71.1804988
02027,	42.24794,	-71.15441849999999
02029,	-23.5105879,	-46.6204638
02030,	42.2274115,	-71.2755422
02032,	42.1543722,	-71.2102024
02033,	-23.4961465,	-46.6114203
02034,	-23.5039167,	-46.6252876
02035,	42.0706608,	-71.2517835
02036,	-23.5042449,	-46.6210667
02038,	42.0870521,	-71.4061876
02039,	-23.4927204,	-46.6204638
02040,	42.2192807,	-70.78469439999999
02041,	42.0794153,	-70.6518222
02043,	42.2271881,	-70.8833434
02044,	42.23999999999999,	-70.89
02045,	42.3016073,	-70.9011786
02046,	42.364111,	12.4953899
02047,	42.1341009,	-70.6863656
02048,	42.00925840000001,	-71.2280234
02050,	42.110535,	-70.70495199999999
02051,	42.1452849,	-70.73691889999999
02052,	42.1871281,	-71.30416989999999
02053,	42.1559342,	-71.4180622
02054,	42.1670755,	-71.3705616
02055,	42.2192807,	-70.78469439999999
02056,	42.1208961,	-71.3230549
02059,	42.1445422,	-70.7680713
02060,	42.2192807,	-70.78469439999999
02061,	42.1693018,	-70.8238874
02062,	42.1772198,	-71.20426189999999
02065,	42.09883,	-70.68083
02066,	42.1950224,	-70.7525299
02067,	42.1159279,	-71.1804988
02068,	-23.510052,	-46.61202309999999
02069,	-23.5041264,	-46.6138317
02070,	42.0341608,	-71.38800979999999
02071,	42.10422740000001,	-71.26663289999999
02072,	42.1229099,	-71.10920120000002
02074,	-23.5070739,	-46.5999675
02075,	-23.5023401,	-46.6017757
